Emotion,Text
joy,Sage Act upgrade list tommorow
sadness,WAY HOMEGIRL BABY FUNERAL MAN HATE FUNERALS SHOWS BLESSED
joy,eye  true hazel eyeand brilliant  Regular features  open countenance  complexion  Oh  bloom health  pretty height size  firm upright figure  health  merely bloom  air  head  glance  hears child  picture health    gives idea complete picture grownup health  loveliness 
joy,  ugh babe hugggzzz u  babe naamazed nga ako e babe e despite negas mas pinaramdam fil ko ang
fear,Im expecting extremely important phonecall minute #terror #opportunity
sadness,Couldnt wait live missing NH7 wasnt painful enuf Suraj s performing gig delhi
surprise,maken Tip 2: Stop op een moment dat je het hele project wel ziet zitten Nu dus #derestkomtlaterwel
surprise,En dan krijg je ff een cadeautje van een tweep #melike
surprise,  Drummer Boy bij op verzoek van      : welke uitvoering van wie
anger,bull tossed effigy hands infuriated  
sadness,People hide #fake smile
joy,life  Leopold truly happy : hopes prayers beloved son come fruition 
fear,assault laughter stand ~ Mark Twain #emotionalcourage
anger, everybody  
sadness,Shakuhachi dress $580 1022 mm lens $708 #pain :(
surprise,Haha course come home different house leave parents redo entire downstairs warning
joy,feeling fail french #fuckfrench
joy,GoodLet  
surprise,  reeeeeellllyyyyyyy need tell something guess what phone fucked up #gotohellmexicanphone
sadness,Oh  thats bad  doctor 
joy,fell love \X\ Overnight felt confidence selfesteem responsible worthwhile
fear,primitive #Instinct thats friendIt warns pay attention ur dangerit tells act save
anger,talk 
fear,riding friend car speed 120 km/h snowcovered motorway liked out
sadness,welcome   glad night love you leave :( im gonna miss much
surprise,ending pooped pants end weeks crazy ending #dEcodEd
joy,terribly ecstatic dangerous thing 
sadness,losing something Going fat burger dinner dad
joy,selected study university
joy,Yeah  ’ ages  
fear,friend misunderstood know #heartoflife good
fear,     #xA#xAAdd things symptom called #NERVOSO #xA#xAu wanna learn [:
shame,doubted  failed recognise temporary financial embarrassment 
fear,bank secret dismay Virgin s venture airlines 
joy,passed BA exams class results
sadness,homies ride ponies look like sad puppy #wanttoride #ankleneedstoheal
surprise,pop amp roll floor 
sadness,OMG December 5th windows open house Mr Winter you Jack frost missing too
surprise,alleen nog morgen cadootjes kopen stadje en dan helemaal klaar
surprise,Im planet Im planets hold life amp discovered
anger,kill work number slakers wandering around nothing
fear,years ago father ill stayed hospital long time experienced terrible feeling lose him
sadness,thought agreed  ’ going weeks rework 
anger,parents allow social function friends attending
fear,quotThe family bedrock society protect institution marriage country fallquot
sadness,Bro team lost  played swag #freshcut
joy,heard selected fot year university Zambia form Chikola secondary school
anger,tried rape best friends claimed fault hassled her claimed loose threatened sue her
joy,Welp time study days
joy,Heading campus rain grad photos
fear,dismay way kids savaging flora Stonethwaite good example 
sadness,moment terror drink hot chocolate knowing burn mouth
